City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,puerto ayacucho,5.6639,-67.6236,24.87,90,95,1.64,VE,1686623236
84,san policarpo,12.1791,125.5072,29.61,72,94,4.38,PH,1686623236
85,kaitangata,-46.2817,169.8464,11.74,75,39,2.23,NZ,1686623236
86,bredasdorp,-34.5322,20.0403,13.95,73,67,11.33,ZA,1686623236
87,dargaville,-35.9333,173.8833,15.33,64,24,4.04,NZ,1686623237
88,barrow,71.2906,-156.7887,7.01,76,0,4.12,US,1686623237
89,luderitz,-26.6481,15.1594,12.58,81,0,5.18,NA,1686623237
90,kushiro,42.975,144.3747,14.53,100,75,1.03,JP,1686623237
91,east london,-33.0153,27.9116,16.2,46,89,8.5,ZA,1686623237
92,santo antonio do leverger,-15.8656,-56.0767,15.21,76,86,3.47,BR,1686623237
93,corner brook,48.9667,-57.9484,10.09,80,0,1.37,CA,1686622963
94,teya,60.3778,92.6267,11.5,72,96,2.61,RU,1686623238
95,manzhouli,49.6,117.4333,30.43,21,89,4.03,CN,1686623238
96,coahuayana,18.7333,-103.6833,25.68,78,12,1.15,MX,1686623238
97,shelburne,44.0787,-80.2041,11.53,99,100,6.16,CA,1686623238
98,pevek,69.7008,170.3133,0.28,99,100,2.65,RU,1686623238
99,cape town,-33.9258,18.4232,15.77,79,75,7.2,ZA,1686623238
100,jamestown,42.097,-79.2353,13.77,79,100,4.12,US,1686623053
101,yellowknife,62.456,-114.3525,7.29,70,75,3.09,CA,1686623239
102,praya,14.9215,-23.5087,25.3,73,0,5.14,CV,1686623239
103,tessalit,20.1986,1.0114,32.1,26,93,3.82,ML,1686623239
104,matara,5.9485,80.5353,27.37,83,98,4.93,LK,1686623239
105,rusape,-18.5278,32.1284,11.56,50,4,3.2,ZW,1686623239
106,los llanos de aridane,28.6585,-17.9182,19.86,84,100,3.09,ES,1686623239
107,suntar,62.1444,117.6319,15.01,32,9,3.53,RU,1686623239
108,georgetown,5.4112,100.3354,30.96,76,20,3.6,MY,1686623158
109,cayenne,4.9333,-52.3333,25.02,94,100,1.03,GF,1686623240
110,san juan de la maguana,18.8059,-71.2299,23.38,87,6,1.36,DO,1686623240
111,sao felix do xingu,-6.6447,-51.995,23.11,79,10,1.0,BR,1686623240
112,sao filipe,14.8961,-24.4956,25.28,74,99,4.39,CV,1686623240
113,puerto suarez,-18.95,-57.8,10.17,86,100,3.26,BO,1686623240
114,arraial do cabo,-22.9661,-42.0278,22.04,91,4,3.38,BR,1686622966
115,warrington,53.3925,-2.5802,18.4,94,96,1.54,GB,1686623240
116,solnechnyy,50.7214,136.6319,20.51,43,4,2.86,RU,1686623240
117,ilulissat,69.2167,-51.1,2.01,75,75,0.0,GL,1686623241
118,ahipara,-35.1667,173.1667,16.57,67,70,5.39,NZ,1686623241
119,ciudad del maiz,22.4,-99.6,23.63,68,1,2.42,MX,1686623241
120,salalah,17.0151,54.0924,29.05,94,75,1.54,OM,1686623241
121,cherskiy,68.75,161.3,4.67,70,100,8.36,RU,1686623241
122,hillsborough,37.5741,-122.3794,20.67,76,75,5.81,US,1686623241
123,san cristobal,7.7669,-72.225,23.1,96,100,1.36,VE,1686623161
124,belyy yar,53.6039,91.3903,17.94,68,0,2.0,RU,1686623241
125,gazojak,41.1875,61.4036,25.73,16,2,4.55,TM,1686623241
126,matagami,49.7502,-77.6328,17.06,67,100,1.03,CA,1686623242
127,puerto colombia,10.9878,-74.9547,29.05,83,50,7.03,CO,1686623242
128,lillooet,50.6856,-121.942,30.7,25,93,0.5,CA,1686623242
129,iqaluit,63.7506,-68.5145,0.85,69,75,4.63,CA,1686623242
130,brandfort,-28.7001,26.4597,1.67,87,2,2.71,ZA,1686623242
131,verkhoyansk,67.5447,133.385,12.51,35,2,3.22,RU,1686623242
132,sao joao da barra,-21.6403,-41.0511,22.81,87,89,2.87,BR,1686623242
133,saldanha,-33.0117,17.9442,13.03,84,100,8.05,ZA,1686623242
134,onega,63.9061,38.1404,13.6,61,86,5.25,RU,1686623243
135,lagoa,39.05,-27.9833,18.72,90,2,6.03,PT,1686623026
136,huarmey,-10.0681,-78.1522,21.13,81,10,6.14,PE,1686623243
137,jaque,7.5175,-78.1703,27.78,80,99,2.24,PA,1686623243
138,sabzevar,36.2126,57.6819,26.38,18,2,2.57,IR,1686623244
139,sudislavl,57.8817,41.7083,9.64,76,0,0.49,RU,1686623244
140,tromso,69.6496,18.957,7.01,81,100,8.75,NO,1686623244
141,acapulco,16.8634,-99.8901,30.9,74,40,3.09,MX,1686623176
142,rio gallegos,-51.6226,-69.2181,5.03,65,0,7.2,AR,1686623244
143,saint george,37.1041,-113.5841,23.47,41,0,2.06,US,1686623045
144,saraland,30.8207,-88.0706,24.06,85,100,3.11,US,1686623063
145,tiarei,-17.5333,-149.3333,29.01,66,7,8.31,PF,1686623244
146,wewak,-3.5534,143.6268,28.32,79,100,2.11,PG,1686623244
147,kuminskiy,58.6667,66.5667,10.05,47,6,3.14,RU,1686623245
148,cheyenne,41.14,-104.8203,11.18,89,100,2.24,US,1686623211
149,sioux lookout,50.1001,-91.917,20.04,49,75,1.54,CA,1686623245
150,longyearbyen,78.2186,15.6401,2.91,75,75,5.14,SJ,1686623245
151,bahia honda,22.9036,-83.1592,26.3,84,1,2.25,CU,1686623245
152,damaturu,11.747,11.9608,29.24,56,51,3.89,NG,1686623246
153,saskylakh,71.9167,114.0833,14.46,49,92,4.96,RU,1686623246
154,colares,38.7992,-9.4469,18.52,88,3,6.71,PT,1686623246
155,aksarka,66.5606,67.7975,7.16,47,100,4.08,RU,1686623246
156,maniitsoq,65.4167,-52.9,1.18,76,64,2.35,GL,1686623247
157,flinders,-34.5833,150.8552,22.43,60,29,2.68,AU,1686623247
158,port blair,11.6667,92.75,29.02,84,100,2.57,IN,1686623247
159,brawley,32.9787,-115.5303,31.34,28,0,8.23,US,1686623247
160,padang,-0.9492,100.3543,29.03,71,88,0.62,ID,1686623247
161,lebu,-37.6167,-73.65,7.86,74,0,6.29,CL,1686623247
162,tenenkou,14.4572,-4.9169,28.49,56,100,3.11,ML,1686623247
163,kalugumalai,9.15,77.7167,28.65,62,100,5.74,IN,1686623248
164,tasiilaq,65.6145,-37.6368,3.09,96,100,0.87,GL,1686623248
165,vardo,70.3705,31.1107,8.99,61,100,10.29,NO,1686623248
166,esperance,-33.8667,121.9,14.68,75,23,7.23,AU,1686623248
167,banda aceh,5.5577,95.3222,29.41,65,62,4.73,ID,1686623248
168,thunder bay,48.4001,-89.3168,15.99,55,75,1.54,CA,1686623248
169,ankang,32.68,109.0172,25.02,68,1,0.55,CN,1686623248
170,touros,-5.1989,-35.4608,24.18,89,3,4.52,BR,1686623029
171,ami,36.0333,140.2,27.75,78,75,2.06,JP,1686623249
172,pakokku,21.3333,95.1,30.34,61,74,5.62,MM,1686623249
173,upernavik,72.7868,-56.1549,-0.72,94,100,20.37,GL,1686623249
174,isangel,-19.55,169.2667,26.06,65,100,2.06,VU,1686623249
175,alpena,45.0617,-83.4327,12.18,88,100,3.6,US,1686623249
176,constitucion,-35.3333,-72.4167,7.85,62,0,2.41,CL,1686623249
177,fortuna,40.5982,-124.1573,13.19,97,100,5.66,US,1686622995
178,port-gentil,-0.7193,8.7815,24.23,88,92,3.95,GA,1686623249
179,yulara,-25.2406,130.9889,14.09,31,2,4.54,AU,1686623250
180,lashma,54.9321,41.1438,8.39,82,3,3.71,RU,1686623250
181,chuy,-33.6971,-53.4616,8.52,75,94,2.99,UY,1686623250
182,olafsvik,64.8945,-23.7142,7.72,80,61,3.48,IS,1686623250
183,souillac,-20.5167,57.5167,23.21,94,40,2.06,MU,1686623250
184,lamu,-2.2717,40.902,24.12,78,16,5.8,KE,1686623250
185,hobyo,5.3505,48.5268,25.73,84,67,10.09,SO,1686623250
186,genhe,50.7833,121.5167,28.02,31,81,2.86,CN,1686623250
187,kribi,2.95,9.9167,24.86,89,99,2.64,CM,1686623250
188,thompson,55.7435,-97.8558,8.09,81,100,5.14,CA,1686623214
189,carnarvon,-24.8667,113.6333,17.43,36,0,7.38,AU,1686623251
190,dwarka,22.2394,68.9678,29.08,81,100,14.53,IN,1686623251
191,berlevag,70.8578,29.0864,7.89,70,40,12.35,NO,1686623251
192,saint-philippe,-21.3585,55.7679,21.77,75,0,1.71,RE,1686622993
193,jasper,37.2001,-94.3502,18.9,74,0,0.0,US,1686623251
194,vao,-22.6667,167.4833,21.04,60,11,4.44,NC,1686623251
195,poum,-20.2333,164.0167,23.77,63,10,4.49,NC,1686623251
196,victoria,22.2855,114.1577,33.02,78,92,1.79,HK,1686623150
197,asfi,32.2994,-9.2372,20.81,81,65,5.47,MA,1686623251
198,atambua,-9.1061,124.8925,27.32,48,72,1.47,ID,1686623251
199,margate,51.3813,1.3862,15.39,84,1,1.79,GB,1686623252
200,playa vicente,17.8333,-95.8167,30.75,64,8,1.9,MX,1686623252
201,pacific grove,36.6177,-121.9166,16.9,81,40,5.14,US,1686623252
202,cabo san lucas,22.8909,-109.9124,30.17,39,0,2.57,MX,1686622990
203,torbay,47.6666,-52.7314,8.49,95,100,7.2,CA,1686623252
204,przasnysz,53.0191,20.8803,10.77,88,100,3.69,PL,1686623252
205,campbeltown,55.4258,-5.6076,20.03,92,72,2.87,GB,1686623252
206,port lincoln,-34.7333,135.8667,13.97,57,92,10.39,AU,1686623252
207,atar,20.5169,-13.0499,29.73,21,96,3.92,MR,1686623252
208,kearney,40.6995,-99.0815,18.31,61,0,3.09,US,1686623253
209,korla,41.7597,86.1469,32.03,19,97,5.32,CN,1686623028
210,sarkand,45.41,79.9186,22.81,32,100,1.32,KZ,1686623253
211,ixtapa,20.7,-105.2,27.57,78,20,4.63,MX,1686623253
212,north bend,43.4065,-124.2243,18.48,88,100,3.6,US,1686623088
213,cookeville,36.1628,-85.5016,17.11,94,0,0.0,US,1686623061
214,clyde river,70.4692,-68.5914,-0.87,86,100,3.6,CA,1686623253
215,talcahuano,-36.7167,-73.1167,9.82,53,0,3.09,CL,1686623253
216,mawlaik,23.6333,94.4167,27.2,89,98,0.27,MM,1686623253
217,mecca,21.4267,39.8261,30.44,23,1,2.38,SA,1686623175
218,shingu,33.7333,135.9833,28.37,60,100,1.18,JP,1686623253
219,rawson,-43.3002,-65.1023,6.33,51,98,2.49,AR,1686623253
220,cabedelo,-6.9811,-34.8339,24.37,85,25,5.63,BR,1686622978
221,manitouwadge,49.1215,-85.8403,15.11,65,100,1.91,CA,1686623254
222,gawler,-34.6,138.7333,15.82,78,40,8.52,AU,1686623254
223,rogatica,43.8008,19.0025,13.41,98,100,0.97,BA,1686623254
224,shalya,57.2471,58.7298,7.35,58,2,1.41,RU,1686623254
225,stephenville,32.2207,-98.2023,27.08,74,40,3.6,US,1686623254
226,faanui,-16.4833,-151.75,27.38,69,10,6.68,PF,1686623254
227,bilibino,68.0546,166.4372,8.78,88,100,7.1,RU,1686623254
228,fort wellington,6.4,-57.6,25.94,87,100,3.72,GY,1686623254
229,sumenep,-7.0167,113.8667,28.69,71,62,5.69,ID,1686623254
230,la sarre,48.8002,-79.1996,15.03,88,100,2.23,CA,1686623255
231,mayor pablo lagerenza,-19.9309,-60.7718,11.41,48,100,5.05,PY,1686623255
232,songkhla,6.8333,100.6667,31.58,71,40,2.76,TH,1686623255
233,umea,63.8284,20.2597,10.51,93,100,0.0,SE,1686623255
234,nanortalik,60.1432,-45.2371,6.83,76,100,4.57,GL,1686623255
235,wainwright,52.839,-110.8572,23.67,57,67,1.58,CA,1686623255
236,taksimo,56.3444,114.8794,15.53,42,52,1.68,RU,1686622978
237,butaritari,3.0707,172.7902,28.19,77,100,4.5,KI,1686623255
238,ous,60.9058,61.5186,10.84,57,36,3.51,RU,1686623255
239,swellendam,-34.0226,20.4417,12.01,72,56,5.21,ZA,1686623255
240,andros town,24.7,-77.7667,25.98,75,73,3.93,BS,1686623256
241,wajima,37.4,136.9,25.38,78,75,3.09,JP,1686623256
242,podgornaya,44.2031,43.4297,15.47,92,100,2.44,RU,1686623256
243,dzerzhinskoye,56.8344,95.2283,18.2,53,46,2.73,RU,1686623256
244,las vegas,36.175,-115.1372,29.59,29,20,8.94,US,1686623016
245,kuhdasht,33.535,47.6061,21.88,29,0,2.48,IR,1686623256
246,yahualica,21.1333,-102.85,27.98,25,78,3.11,MX,1686623256
247,kavaratti,10.5669,72.642,29.51,75,100,9.51,IN,1686623014
248,ruteng,-8.6136,120.4721,22.39,55,52,1.13,ID,1686623256
249,anadyr,64.75,177.4833,17.28,48,0,3.0,RU,1686623256
250,sisimiut,66.9395,-53.6735,-0.47,86,21,3.05,GL,1686623257
251,ron phibun,8.1791,99.8542,31.83,63,79,3.61,TH,1686623257
252,katsuura,35.1333,140.3,23.57,82,84,4.67,JP,1686623257
253,ronda,36.7423,-5.1671,14.16,89,50,2.33,ES,1686623257
254,shache,38.4167,77.2406,28.04,16,100,2.93,CN,1686623257
255,aleksandrovka,46.8383,32.7612,15.02,97,20,5.07,UA,1686623257
256,muravlenko,63.7898,74.523,5.2,61,13,7.62,RU,1686623257
257,sekoma,-24.4,23.8833,5.71,78,0,3.57,BW,1686623258
258,oriximina,-1.7656,-55.8661,24.3,92,11,1.73,BR,1686623046
259,la baule-escoublac,47.2922,-2.364,16.81,87,0,1.54,FR,1686623258
260,chalons-en-champagne,48.9539,4.3672,14.63,66,22,2.92,FR,1686623258
261,dhidhdhoo,6.8833,73.1,28.9,79,89,8.26,MV,1686623004
262,port hedland,-20.3167,118.5667,24.03,22,75,7.2,AU,1686623258
263,ascope,-7.7144,-79.1078,20.63,79,9,2.02,PE,1686623258
264,sardinata,8.0829,-72.8007,26.82,83,97,1.52,CO,1686623258
265,russell,32.3502,-85.1999,25.23,78,0,1.54,US,1686623258
266,mincivan,39.0294,46.7185,23.21,67,0,0.61,AZ,1686623259
267,port hardy,50.6996,-127.4199,19.1,63,40,6.17,CA,1686623259
268,khudumelapye,-23.8833,24.75,5.76,77,0,3.69,BW,1686623259
269,beyneu,45.3167,55.2,25.83,19,10,4.05,KZ,1686623259
270,monroe,43.1501,-77.6831,15.24,89,100,6.17,US,1686623259
271,vostok,46.4856,135.8833,15.19,90,91,1.3,RU,1686623259
272,saint-pierre,-21.3393,55.4781,21.98,73,0,2.57,RE,1686623259
273,yumen,40.2833,97.2,27.58,14,0,8.48,CN,1686623259
274,goderich,43.7501,-81.7165,14.39,93,97,1.54,CA,1686623259
275,cegrane,41.8389,20.9758,14.97,97,99,0.19,MK,1686623260
276,turochak,52.2576,87.1224,17.6,61,45,1.28,RU,1686623260
277,marawi,7.9986,124.2928,28.27,61,28,1.17,PH,1686623260
278,mercedes,-34.6515,-59.4307,3.35,66,0,2.3,AR,1686623260
279,champerico,14.3,-91.9167,28.95,77,100,2.96,GT,1686623260
280,yanam,16.7333,82.2167,34.41,47,100,3.6,IN,1686623260
281,palmer,42.1584,-72.3287,19.92,84,100,1.54,US,1686623048
282,zhigansk,66.7697,123.3711,12.56,40,10,1.98,RU,1686623260
283,tuatapere,-46.1333,167.6833,12.57,70,50,0.82,NZ,1686623260
284,maumere,-8.6199,122.2111,27.64,63,26,2.78,ID,1686623261
285,walvis bay,-22.9575,14.5053,12.83,93,0,2.57,NA,1686623025
286,yar-sale,66.8333,70.8333,4.65,54,13,5.45,RU,1686623261
287,danjiangkou,32.5428,111.5086,28.17,50,4,3.49,CN,1686623261
288,provideniya,64.3833,-173.3,4.06,87,75,7.0,RU,1686623261
289,orapa,-21.2833,25.3667,11.76,49,51,6.95,BW,1686623261
290,agadez,19.75,10.25,31.36,32,43,4.3,NE,1686623261
291,bathsheba,13.2167,-59.5167,26.34,89,40,3.09,BB,1686623261
292,norman wells,65.282,-126.8329,12.02,76,75,5.66,CA,1686623262
293,akdepe,42.0551,59.3788,22.05,18,36,4.26,TM,1686623262
294,mackay,-21.15,149.2,27.05,74,1,3.04,AU,1686623262
295,beloha,-25.1667,45.05,16.52,97,13,2.96,MG,1686623262
296,wuwei,37.9281,102.6414,25.42,18,0,2.75,CN,1686623262
297,wanganui,-39.9333,175.05,13.66,75,5,1.79,NZ,1686623262
298,wanxian,30.8039,108.3897,27.21,69,70,1.08,CN,1686623262
299,waw,7.7029,27.9953,23.25,77,97,1.78,SS,1686623263
300,plettenberg bay,-34.0527,23.3716,12.78,67,94,2.99,ZA,1686623263
301,saint-francois,46.4154,3.9054,13.71,100,75,0.0,FR,1686623263
302,grand gaube,-20.0064,57.6608,23.54,78,10,0.45,MU,1686623263
303,qaanaaq,77.484,-69.3632,0.17,95,100,3.12,GL,1686623263
304,requena,39.4883,-1.1004,14.73,84,82,0.72,ES,1686623263
305,tateyama,34.9833,139.8667,23.49,82,80,2.81,JP,1686623263
306,sovetskiy,61.3614,63.5842,9.33,47,6,2.31,RU,1686623263
307,vanimo,-2.6741,141.3028,24.85,93,100,3.05,PG,1686623263
308,pisco,-13.7,-76.2167,20.03,77,2,3.09,PE,1686623263
309,qui nhon,13.7667,109.2333,29.29,68,100,2.86,VN,1686623264
310,bukoba,-1.3317,31.8122,19.49,77,80,2.08,TZ,1686623264
311,kibondo,-3.5864,30.7203,17.32,66,98,0.79,TZ,1686623264
312,bengkulu,-3.8004,102.2655,27.55,69,20,0.39,ID,1686623264
313,acarau,-2.8856,-40.12,25.15,85,0,5.16,BR,1686623264
314,carutapera,-1.195,-46.02,24.5,94,84,3.04,BR,1686623264
315,vila velha,-20.3297,-40.2925,23.97,90,20,4.12,BR,1686623257
316,pangnirtung,66.1451,-65.7125,-4.19,96,94,1.67,CA,1686623264
317,salinopolis,-0.6136,-47.3561,26.21,86,100,5.58,BR,1686623137
318,szczytno,53.5626,20.9875,7.96,76,0,1.03,PL,1686623264
319,pimentel,-6.8367,-79.9342,22.16,83,0,8.75,PE,1686623265
320,sept-iles,50.2001,-66.3821,17.25,68,100,2.57,CA,1686623265
321,metro,-5.1131,105.3067,28.02,78,85,2.03,ID,1686623265
322,cairns,-16.9167,145.7667,28.39,74,100,3.6,AU,1686623197
323,tieli,46.95,128.05,23.69,55,1,0.84,CN,1686623265
324,okoneshnikovo,54.8377,75.0834,13.21,59,100,2.11,RU,1686623265
325,vilhena,-12.7406,-60.1458,19.37,99,94,2.36,BR,1686623265
326,pingliang,35.5392,106.6861,24.39,26,40,3.51,CN,1686623265
327,sinnamary,5.3833,-52.95,25.75,86,76,4.18,GF,1686623265
328,tilichiki,60.4667,166.1,12.52,63,100,2.75,RU,1686623266
329,seoul,37.5683,126.9778,25.66,58,40,4.12,KR,1686622999
330,xai-xai,-25.0519,33.6442,20.51,75,85,2.64,MZ,1686623266
331,lagos,6.5833,3.75,26.18,85,70,1.56,NG,1686623146
332,hami,42.8,93.45,32.28,15,63,4.56,CN,1686623266
333,yerofey pavlovich,53.9667,121.9667,9.05,93,100,2.14,RU,1686623266
334,klaksvik,62.2266,-6.589,6.51,71,100,0.95,FO,1686623266
335,hargeysa,9.56,44.065,20.29,73,71,10.15,SO,1686623266
336,caravelas,-17.7125,-39.2481,21.73,90,0,2.36,BR,1686623266
337,vila franca do campo,37.7167,-25.4333,19.23,98,100,5.08,PT,1686623267
338,muros,42.7762,-9.0603,17.27,91,62,1.45,ES,1686623267
339,ketchikan,55.3422,-131.6461,17.26,55,0,4.12,US,1686623267
340,la ronge,55.1001,-105.2842,18.14,55,100,2.57,CA,1686623267
341,coquimbo,-29.9533,-71.3436,10.85,81,100,1.54,CL,1686623040
342,rio grande,-32.035,-52.0986,4.06,65,6,3.88,BR,1686623267
343,sao gabriel,-30.3364,-54.32,4.07,62,0,2.34,BR,1686623267
344,new norfolk,-42.7826,147.0587,12.73,77,91,1.54,AU,1686623267
345,opuwo,-18.0607,13.84,11.12,17,4,2.39,NA,1686623267
346,sabang,5.8933,95.3214,28.6,73,35,7.21,ID,1686623098
347,salinas,36.6777,-121.6555,17.78,75,100,5.66,US,1686623267
348,doka,13.5167,35.7667,26.67,59,100,2.68,SD,1686623267
349,sesheke,-17.4759,24.2968,12.68,35,8,2.64,ZM,1686623268
350,orotukan,62.2667,151.7,13.45,63,82,7.17,RU,1686623268
351,khorixas,-20.3667,14.9667,10.05,46,3,2.6,NA,1686623269
352,santa lucia,27.9117,-15.5407,17.19,77,20,3.6,ES,1686623269
353,talnakh,69.4865,88.3972,8.45,73,97,1.83,RU,1686623269
354,nador,35.174,-2.9287,22.14,60,0,6.69,MA,1686623270
355,miraflores,19.2167,-98.8083,25.57,39,1,2.63,MX,1686623270
356,kyrylivka,46.3759,35.3675,18.37,87,98,6.54,UA,1686623270
357,quelimane,-17.8786,36.8883,20.97,94,0,2.06,MZ,1686623270
358,gualaca,8.5333,-82.3,27.25,87,64,0.9,PA,1686623270
359,zaysan,47.4667,84.8667,20.83,39,78,1.86,KZ,1686623270
360,narsaq,60.9167,-46.05,10.12,69,100,2.44,GL,1686623270
361,aksha,50.2814,113.2867,29.91,22,72,3.82,RU,1686623270
362,sabha,27.0377,14.4283,26.3,34,0,4.8,LY,1686623271
363,mizdah,31.4451,12.9801,22.56,45,0,2.49,LY,1686623271
364,vestmannaeyjar,63.4427,-20.2734,8.08,83,8,5.03,IS,1686623271
365,phuket,8.0,98.25,31.16,79,20,1.54,TH,1686623271
366,ilam,26.9167,87.9167,23.55,76,52,0.45,NP,1686623271
367,arrifes,37.7667,-25.7,18.14,100,75,4.63,PT,1686623271
